player_id,score,username,user_url,user_stats_url,country,location,joined,status,is_streamer,chess_blitz_last_rating,chess_blitz_last_date,chess_blitz_best_rating,chess_blitz_best_date,chess_blitz_record_win,chess_blitz_record_loss,chess_blitz_record_draw,chess_bullet_last_rating,chess_bullet_last_date,chess_bullet_best_rating,chess_bullet_best_date,chess_bullet_record_win,chess_bullet_record_loss,chess_bullet_record_draw,chess_daily_last_rating,chess_daily_last_date,chess_daily_best_rating,chess_daily_best_date,chess_daily_record_win,chess_daily_record_loss,chess_daily_record_draw,chess_rapid_last_rating,chess_rapid_last_date,chess_rapid_best_rating,chess_rapid_best_date,chess_rapid_record_win,chess_rapid_record_loss,chess_rapid_record_draw,tactics_highest_rating,tactics_highest_date,lessons_highest_rating,lessons_highest_date,puzzle_rush_best_total_attempts,puzzle_rush_best_score,puzzle_rush_daily_total_attempts,puzzle_rush_daily_score
43395306,54,gejimayu,https://api.chess.com/pub/player/gejimayu,https://api.chess.com/pub/player/gejimayu/stats,DE,,2018/02/16,premium,False,2252,2020/08/04,2252,2020/03/15,76,39,11,2158,2019/12/31,2291,2019/06/17,71,33,8,1569,2020/05/20,1569,2020/05/20,3,0,0,1477,2020/07/15,1477,2018/03/11,2,0,0,3007,2019/07/27,,,63,60,54,51
26867272,47,jospem,https://api.chess.com/pub/player/Jospem,https://api.chess.com/pub/player/Jospem/stats,PE,Lima,2016/02/22,premium,True,2951,2020/08/18,3032,2020/08/15,3914,3237,715,2828,2020/08/18,2937,2020/08/11,1532,1343,203,827,2017/06/25,1200,2016/02/22,1,1,0,2507,2020/07/26,2744,2020/05/15,13,4,4,3383,2020/05/22,2156,2018/12/08,65,62,58,55
6762625,42,pooh2012,https://api.chess.com/pub/player/pooh2012,https://api.chess.com/pub/player/pooh2012/stats,US,,2012/02/24,premium,False,2376,2020/08/18,2583,2020/01/10,1005,1006,146,2707,2020/01/03,2849,2020/01/03,370,368,57,1068,2019/02/19,,,0,0,1,2072,2020/01/27,2072,2020/01/27,250,114,22,3031,2020/06/16,1836,2014/01/23,54,51,45,42
87136676,40,hunni-5,https://api.chess.com/pub/player/hunni-5,https://api.chess.com/pub/player/hunni-5/stats,RU,,2020/07/20,premium,False,2727,2020/08/14,2727,2020/08/14,89,34,10,2430,2020/08/14,2430,2020/08/14,27,20,3,,,,,,,,,,,,,,,4512,2020/08/17,,,46,43,42,39
68298186,40,pineapplepro123,https://api.chess.com/pub/player/pineapplepro123,https://api.chess.com/pub/player/pineapplepro123/stats,US,Pineapple land,2019/11/21,premium,False,2123,2020/08/18,2268,2020/06/15,1263,1254,264,2300,2020/08/16,2300,2020/08/09,4504,4672,891,2035,2020/08/03,2108,2020/03/30,47,7,8,2006,2020/08/15,2000,2020/08/15,1439,1034,312,2736,2020/03/06,2844,2020/02/01,52,49,43,40
63348984,39,fan_of_vodka,https://api.chess.com/pub/player/Fan_Of_Vodka,https://api.chess.com/pub/player/Fan_Of_Vodka/stats,IN,Hyderbad,2019/07/16,premium,False,1954,2020/04/18,1986,2020/04/14,114,36,8,1012,2020/03/10,1147,2019/08/06,4,4,0,1655,2020/08/18,1655,2020/08/18,64,1,2,977,2020/03/20,1044,2020/02/04,2,1,0,3242,2019/08/24,,,60,57,41,39
46506588,38,ansarbalab,https://api.chess.com/pub/player/AnsarBalab,https://api.chess.com/pub/player/AnsarBalab/stats,KZ,,2018/05/25,basic,False,2206,2020/08/16,2323,2019/09/20,904,160,25,2101,2020/08/17,2343,2019/09/06,19615,7452,627,,,,,,,,1385,2020/08/06,1385,2020/08/06,3,0,0,2973,2020/08/17,,,45,42,40,38
46161598,38,sutormin_da,https://api.chess.com/pub/player/Sutormin_DA,https://api.chess.com/pub/player/Sutormin_DA/stats,RU,Vladivostok,2018/05/13,basic,False,2596,2020/08/18,2731,2019/09/18,843,775,111,2463,2020/01/13,2639,2019/04/16,188,192,29,,,,,,,,2066,2020/02/11,2109,2019/03/04,17,7,1,2997,2019/10/22,,,49,46,41,38
62806700,37,soumyajitdas11,https://api.chess.com/pub/player/soumyajitdas11,https://api.chess.com/pub/player/soumyajitdas11/stats,IN,,2019/06/29,basic,False,2135,2020/07/22,2226,2019/12/15,268,180,35,1864,2020/07/11,1877,2020/07/11,119,82,13,1780,2020/07/22,1781,2020/07/19,34,12,2,1360,2020/05/01,1360,2020/05/01,1,0,0,2721,2019/10/10,1997,2019/10/21,44,41,40,37
9101922,36,meeraa77,https://api.chess.com/pub/player/meeraa77,https://api.chess.com/pub/player/meeraa77/stats,IN,Chennai,2012/10/01,premium,False,2238,2019/02/18,2286,2019/02/08,10,3,1,1948,2020/04/08,2120,2019/02/13,87,68,14,,,,,,,,1686,2013/03/26,1762,2013/03/26,5,1,0,1833,2020/08/18,,,57,54,50,47
86340936,36,oganromchess,https://api.chess.com/pub/player/oganromchess,https://api.chess.com/pub/player/oganromchess/stats,RU,,2020/07/10,premium,False,2424,2020/08/18,2516,2020/07/18,630,678,90,,,,,,,,,,,,,,,,,,,,,,2746,2020/08/18,,,43,41,39,36
81467318,36,let_it_be_1,https://api.chess.com/pub/player/Let_it_be_1,https://api.chess.com/pub/player/Let_it_be_1/stats,RU,,2020/06/04,premium,False,2518,2020/08/17,2574,2020/07/08,361,362,91,,,,,,,,,,,,,,,,,,,,,,1200,2020/08/18,,,43,40,39,36
23813418,36,drazen_2015,https://api.chess.com/pub/player/Drazen_2015,https://api.chess.com/pub/player/Drazen_2015/stats,BO,Santa Cruz de la Sierra,2015/08/24,premium,False,1903,2020/08/18,1983,2020/06/13,380,235,37,1668,2020/08/13,1756,2019/11/04,743,496,54,1548,2018/11/03,1548,2018/11/03,2,2,0,1862,2020/07/26,1862,2018/09/08,11,2,0,2474,2020/08/18,1168,2018/08/01,53,50,39,36
80937520,35,pangtao,https://api.chess.com/pub/player/pangtao,https://api.chess.com/pub/player/pangtao/stats,CN,china,2020/05/30,premium,False,2521,2020/08/18,2521,2020/08/18,158,51,12,,,,,,,,,,,,,,,2294,2020/08/17,2294,2020/08/17,16,0,0,2937,2020/06/16,,,47,45,38,35
4161276,35,claudioa,https://api.chess.com/pub/player/claudioa,https://api.chess.com/pub/player/claudioa/stats,US,St. Louis MO,2010/10/24,premium,False,2281,2020/04/04,2311,2019/12/17,3403,2968,432,1903,2020/08/18,2150,2016/04/24,8336,7918,555,1995,2019/04/13,2087,2018/04/03,66,14,14,1987,2018/08/26,2034,2016/06/25,68,37,11,2715,2019/08/18,2091,2016/12/23,52,49,38,35
78269196,34,juanarmandorohl,https://api.chess.com/pub/player/juanarmandorohl,https://api.chess.com/pub/player/juanarmandorohl/stats,VE,Caracas,2020/04/30,premium,False,2530,2020/05/29,2566,2020/05/27,19,9,4,2401,2020/07/29,2401,2020/07/29,10,4,0,,,,,,,,,,,,,,,2812,2020/06/15,,,42,39,42,39
34351876,34,marsh-3000,https://api.chess.com/pub/player/marsh-3000,https://api.chess.com/pub/player/marsh-3000/stats,RU,,2017/03/29,premium,False,2069,2020/08/16,2200,2019/04/30,903,793,70,1937,2020/07/01,2023,2019/10/19,985,953,54,,,,,,,,,,,,,,,2480,2020/07/21,,,53,50,36,34
10729592,34,agibileg,https://api.chess.com/pub/player/Agibileg,https://api.chess.com/pub/player/Agibileg/stats,MN,Ulaanbaatar,2013/02/07,premium,False,2471,2020/08/18,2551,2020/05/17,467,489,62,2348,2020/07/16,2374,2020/07/15,318,337,22,984,2016/07/06,,,0,1,0,2400,2020/07/09,2016,2020/07/07,33,14,3,2933,2020/08/18,,,59,56,40,37
1438986,33,jrenatomaranhao,https://api.chess.com/pub/player/JRenatoMaranhao,https://api.chess.com/pub/player/JRenatoMaranhao/stats,BR,Piracicaba-SP-Brazil,2008/07/13,premium,False,2047,2020/08/18,2094,2020/08/10,1043,1068,108,1880,2020/08/18,2041,2020/07/18,613,606,33,907,2020/01/27,1200,2008/07/13,3,7,0,1900,2020/07/05,1654,2020/06/13,6,1,0,1900,2020/08/18,1953,2010/10/08,54,51,35,34
78024894,32,capmbeta,https://api.chess.com/pub/player/CAPMBeta,https://api.chess.com/pub/player/CAPMBeta/stats,AU,,2020/04/28,basic,False,1970,2020/08/15,1970,2020/08/15,65,20,2,2096,2020/08/18,2119,2020/08/18,132,63,10,,,,,,,,1266,2020/08/05,1266,2020/08/05,2,0,0,400,2020/08/18,,,34,32,34,32
40750862,32,sigomez,https://api.chess.com/pub/player/sigomez,https://api.chess.com/pub/player/sigomez/stats,CO,,2017/11/26,basic,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2690,2020/08/05,,,54,51,35,32
2434178,32,simonsaito,https://api.chess.com/pub/player/SimonSaito,https://api.chess.com/pub/player/SimonSaito/stats,US,Beverly Hills,2010/01/03,premium,False,2163,2020/08/17,2315,2019/07/12,475,374,63,2004,2020/06/17,2060,2020/06/09,1944,1510,175,1944,2020/05/18,2075,2012/11/14,50,24,3,2027,2019/07/18,2066,2019/07/17,16,3,0,2694,2018/07/31,1613,2018/09/29,54,51,44,41
5884989,31,yoonj22,https://api.chess.com/pub/player/yoonj22,https://api.chess.com/pub/player/yoonj22/stats,AU,,2011/10/01,basic,False,1843,2020/07/26,1904,2020/07/22,142,88,3,1905,2020/08/11,1931,2020/07/19,576,441,31,,,,,,,,1159,2019/10/17,1520,2012/03/03,6,10,2,2410,2020/02/01,,,37,34,33,31
52045134,31,aadimes,https://api.chess.com/pub/player/aadimes,https://api.chess.com/pub/player/aadimes/stats,IN,Kerala,2018/11/18,premium,False,2054,2020/08/18,2127,2020/08/02,675,665,69,1690,2020/08/12,1739,2019/03/18,135,145,9,1563,2020/08/16,1878,2018/12/08,53,37,7,1887,2020/08/15,1887,2020/08/15,377,678,69,2696,2019/08/27,2149,2019/02/03,39,37,36,33
44634128,31,michael_corleone_ny,https://api.chess.com/pub/player/Michael_Corleone_NY,https://api.chess.com/pub/player/Michael_Corleone_NY/stats,RU,,2018/03/25,premium,False,2230,2020/08/07,2325,2020/04/13,498,533,62,1706,2020/06/21,1981,2018/12/18,8,4,0,,,,,,,,1954,2019/12/14,,,1,0,0,1283,2020/07/01,1819,2018/05/30,43,40,34,31
2498472,31,buddhahead,https://api.chess.com/pub/player/buddhahead,https://api.chess.com/pub/player/buddhahead/stats,US,Seattle,2010/01/26,premium,False,1757,2020/04/24,1958,2018/11/21,501,403,36,1532,2020/08/18,1674,2019/08/23,1643,1449,66,1527,2020/03/24,1836,2016/10/12,45,17,2,1591,2020/01/16,1675,2019/04/18,6,2,0,2410,2020/07/06,1885,2017/07/04,46,43,40,37
22252702,31,fishface2,https://api.chess.com/pub/player/fishface2,https://api.chess.com/pub/player/fishface2/stats,US,Melrose,2015/05/04,premium,False,1949,2020/08/15,2085,2019/03/30,2225,1956,258,1936,2018/06/04,2058,2017/08/21,1,1,0,,,,,,,,1961,2020/07/25,2217,2020/04/15,5,5,1,2761,2020/02/01,2346,2018/01/10,39,36,32,31
89360706,30,popcorn1409,https://api.chess.com/pub/player/POPCORN1409,https://api.chess.com/pub/player/POPCORN1409/stats,VN,,2020/08/18,premium,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,2020/08/18,,,33,30,33,30
4314191,30,anthonymartino,https://api.chess.com/pub/player/AnthonyMartino,https://api.chess.com/pub/player/AnthonyMartino/stats,US,New Jersey,2010/11/27,premium,False,2044,2020/07/21,2044,2020/07/21,530,435,43,940,2014/06/27,,,0,3,0,,,,,,,,1681,2013/12/09,1681,2013/12/09,2,0,0,2346,2020/08/05,2339,2011/03/07,50,47,43,40
34561152,30,edutr,https://api.chess.com/pub/player/edutr,https://api.chess.com/pub/player/edutr/stats,TR,,2017/04/06,basic,False,2126,2020/08/18,2293,2019/06/24,3033,2794,276,1939,2020/04/30,2282,2018/12/17,4667,4001,291,,,,,,,,,,,,,,,2908,2020/05/03,2032,2019/05/10,49,46,33,30
34408488,30,chess_22_7,https://api.chess.com/pub/player/Chess_22_7,https://api.chess.com/pub/player/Chess_22_7/stats,IN,,2017/03/31,basic,False,2017,2020/08/13,2040,2020/08/07,298,192,23,1808,2020/08/17,1911,2020/08/04,421,305,32,1196,2019/03/04,1416,2017/04/07,1,2,0,1758,2020/04/16,1848,2020/04/04,135,63,12,2588,2020/02/14,1763,2018/05/15,42,39,33,30
23706432,30,matein36,https://api.chess.com/pub/player/Matein36,https://api.chess.com/pub/player/Matein36/stats,AU,,2015/08/17,premium,False,2413,2020/08/06,2440,2020/07/02,25772,24282,2927,2209,2020/08/18,2330,2020/08/04,3469,3282,254,2394,2020/08/17,2484,2019/04/26,127,28,10,1928,2020/07/05,1981,2020/01/14,117,84,28,2575,2019/06/25,2034,2018/12/19,47,44,33,30
23500014,30,phamphu,https://api.chess.com/pub/player/phamphu,https://api.chess.com/pub/player/phamphu/stats,VN,hanoi,2015/08/02,basic,False,2245,2020/08/17,2271,2020/08/16,1097,765,118,1849,2020/05/09,1888,2020/04/28,75,40,6,,,,,,,,2004,2020/07/18,2092,2019/05/16,303,208,30,2378,2020/08/16,1182,2017/10/07,43,40,33,30
1996863,30,alan_o,https://api.chess.com/pub/player/alan_o,https://api.chess.com/pub/player/alan_o/stats,BR,Barrinha,2009/06/26,basic,False,1955,2020/07/27,1967,2020/06/27,1155,1036,193,,,,,,,,,,,,,,,1760,2020/07/21,1797,2020/03/13,89,61,24,2225,2020/07/09,,,38,35,33,30
87006132,29,poshganache,https://api.chess.com/pub/player/poshganache,https://api.chess.com/pub/player/poshganache/stats,US,,2020/07/18,premium,False,1700,2020/08/16,1709,2020/07/20,71,48,10,,,,,,,,,,,,,,,,,,,,,,2158,2020/08/18,,,32,29,32,29
44930602,29,thihai2009,https://api.chess.com/pub/player/thihai2009,https://api.chess.com/pub/player/thihai2009/stats,VN,,2018/04/03,basic,False,2194,2020/08/18,2295,2020/08/09,1708,1412,175,1805,2020/04/22,1842,2019/10/29,275,120,19,1108,2020/04/23,1108,2020/04/23,4,7,1,1606,2020/05/30,1625,2019/10/17,20,6,2,4129,2020/05/07,1274,2019/07/26,40,37,32,29
40511172,29,squidbones,https://api.chess.com/pub/player/squidbones,https://api.chess.com/pub/player/squidbones/stats,US,,2017/11/18,premium,False,1806,2020/05/27,1806,2020/05/27,1333,1140,151,1610,2020/08/12,1620,2020/08/07,2542,2279,165,,,,,,,,1809,2018/09/09,1809,2018/09/09,5,0,0,2662,2020/08/03,1938,2018/09/26,36,34,33,31
87602992,28,ttlcharlie,https://api.chess.com/pub/player/ttlcharlie,https://api.chess.com/pub/player/ttlcharlie/stats,US,,2020/07/26,basic,False,1422,2020/08/11,1422,2020/08/11,7,0,0,,,,,,,,,,,,,,,,,,,,,,531,2020/08/11,,,32,31,31,28
8369024,28,taboubim,https://api.chess.com/pub/player/taboubim,https://api.chess.com/pub/player/taboubim/stats,TN,,2012/07/29,premium,False,1695,2020/08/18,1761,2020/02/09,4512,4238,249,1527,2020/08/18,1705,2020/07/17,3921,3689,135,1367,2020/07/27,1368,2019/10/18,34,8,1,1304,2019/11/19,1304,2019/11/19,3,1,0,2447,2020/06/16,1815,2019/07/13,48,45,30,28
78078152,28,denisenko_denis,https://api.chess.com/pub/player/Denisenko_Denis,https://api.chess.com/pub/player/Denisenko_Denis/stats,RU,,2020/04/28,basic,False,2350,2020/08/16,2390,2020/06/15,430,311,106,,,,,,,,,,,,,,,1443,2020/05/25,1874,2020/05/25,2,5,0,1087,2020/08/18,,,38,35,31,28
68575520,28,shibahiiro,https://api.chess.com/pub/player/ShibaHiiro,https://api.chess.com/pub/player/ShibaHiiro/stats,VN,,2019/11/28,basic,False,1698,2020/08/10,1829,2020/04/19,415,343,31,1530,2020/08/18,1712,2020/01/03,1678,1612,57,1082,2020/03/13,,,0,2,0,1486,2020/06/10,1738,2020/06/10,1,1,0,2207,2020/07/21,,,33,30,31,28
66206212,28,alejandromotato,https://api.chess.com/pub/player/AlejandroMotato,https://api.chess.com/pub/player/AlejandroMotato/stats,CO,Bogotá Colombia,2019/10/02,basic,False,1293,2020/08/17,1303,2020/08/10,757,643,38,1265,2020/08/15,1365,2020/08/08,1199,1021,53,1676,2020/08/17,1680,2020/08/14,301,75,10,1323,2020/08/16,1323,2020/08/16,122,57,5,2006,2020/08/18,1804,2020/01/08,39,36,31,28
5595474,28,flatfish,https://api.chess.com/pub/player/Flatfish,https://api.chess.com/pub/player/Flatfish/stats,NZ,Wellington,2011/08/10,basic,False,2101,2013/05/18,2101,2013/05/18,1229,1034,64,,,,,,,,,,,,,,,,,,,,,,2756,2020/02/25,,,50,47,31,28
52029542,28,dajusy,https://api.chess.com/pub/player/DAJUSY,https://api.chess.com/pub/player/DAJUSY/stats,IS,Reykjavík,2018/11/18,premium,False,1977,2020/08/18,1983,2020/07/28,5799,5431,573,1840,2020/08/15,1899,2020/08/09,642,556,81,1200,2020/01/16,,,0,0,2,1563,2020/07/13,1563,2020/07/13,22,11,4,2321,2020/08/08,1830,2019/07/22,38,35,31,28
